customer_id,dni,nombre,telefono,direccion,fecha_registro
1,52024010,Catherine Cordova,768425639,"535 Allen Village Suite 603 Carolchester, AL 66784",2024-07-07
2,48391828,Megan Santiago,995155562,"PSC 9494, Box 6971 APO AP 23067",2024-12-31
3,92182648,Cheryl Jimenez,785895739,"1019 Joseph Fords Russellland, VT 04431",2022-06-27
4,22157807,Kaitlyn Wallace,786905915,"94251 Garrett Islands Apt. 877 Lake Brian, OK 24443",2025-02-26
5,77156233,Kenneth Gill,849156840,"64637 Stephanie Fork East Megan, MT 05219",2021-06-01
6,39632834,Melissa Gould,498183983,"9163 Mark Island Cynthiamouth, MD 42881",2023-12-01
7,16440407,Robert Hale,529111564,"754 Donna Fork Hancockland, ME 85211",2023-06-29
8,43677794,David Branch,458019158,"16274 Melinda Lock Suite 043 Lake Cheryl, NJ 49628",2022-01-31
9,41612236,Greg Martin,724322571,"39197 Parrish Ford Apt. 210 Lake Vernon, FL 41361",2023-09-11
10,65273945,Garrett Miller,107834563,"54032 Anthony Land East Thomas, TN 13073",2024-05-19
11,34500655,Regina Carter,515032904,"04094 Bennett Gateway New Ryan, IL 84719",2024-07-31
12,60172951,Amber Solis,204243081,"44654 Jennifer Garden East Matthewmouth, ND 61795",2023-01-28
13,95430478,Daniel Baxter,415700673,Unit 8490 Box 6110 DPO AP 61517,2025-09-25
14,61148449,Kristopher Johnson,564064184,"5373 Krista Plaza Port Daniel, PA 73604",2025-07-03
15,57275566,Katie Parker,835288643,"3368 Moreno Drive Wongfurt, WY 87724",2023-03-08
16,99272704,Shannon Horn,754788653,"44045 Mary Club Apt. 687 West Edward, OR 33261",2025-10-13
17,67144698,Erin Thomas,311383636,"56580 Timothy Mountains Alanshire, MS 50671",2025-10-15
18,58545447,Erica Horton,373095959,"77961 Proctor Light Port Deborah, AK 15623",2022-12-13
19,23897864,Melanie Hall,403447596,"90496 Shelton Rue Suite 925 Travisfort, TN 73741",2022-07-30
